session_id,Admin_Unit_Code,park_name,habitat,is_shared_park,Plot_Name,Site_Name,Date,Visit,Observer,month,month_name,week,day_of_season,start_hour,time_band,session_duration_min,Temperature,Humidity,temp_band,humidity_band,Sky,Wind,Disturbance,species_per_session,sightings_per_session,at_risk_sightings,flyovers,pct_at_risk_per_session,has_at_risk
ANTI-0036|2018-06-25|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0036,ANTI 1,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,8,Mid (7-8am),10.0,22.3999996185303,78.8000030517578,20-25C,60-80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,11,15,0,0,0.0,False
ANTI-0043|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0043,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,9,Late (9-10am),10.0,27.6000003814697,59.9000015258789,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,14,16,0,0,0.0,False
ANTI-0044|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0044,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,6,Early (5-6am),10.0,20.5,82.6999969482422,20-25C,>80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,11,0,1,0.0,False
ANTI-0044|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0044,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,10,Late (9-10am),10.0,34.0999984741211,40.2999992370605,>30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,8,11,0,0,0.0,False
ANTI-0044|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0044,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,9,Late (9-10am),10.0,30.6000003814697,63.9000015258789,>30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,5,7,0,1,0.0,False
ANTI-0045|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0045,,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,5,Early (5-6am),10.0,19.7999992370605,78.9000015258789,15-20C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,12,14,0,0,0.0,False
ANTI-0045|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0045,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,7,Mid (7-8am),10.0,22.5,77.9000015258789,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,7,13,0,0,0.0,False
ANTI-0045|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0045,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,9,Late (9-10am),10.0,32.4000015258789,66.6999969482422,>30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,9,9,0,2,0.0,False
ANTI-0052|2018-05-23|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0052,ANTI 1,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,9,Late (9-10am),10.0,27.5,62.9000015258789,25-30C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,9,13,0,0,0.0,False
ANTI-0052|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0052,ANTI 1,2018-06-26,2,Kimberly Serno,2018-06,June,26,50,5,Early (5-6am),10.0,21.7000007629395,58.5,20-25C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,12,16,1,0,6.25,True
ANTI-0053|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0053,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,5,Early (5-6am),10.0,21.0,79.1999969482422,20-25C,60-80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,10,14,0,1,0.0,False
ANTI-0053|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0053,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,10,Late (9-10am),10.0,33.9000015258789,38.5,>30C,<40%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,9,11,0,1,0.0,False
ANTI-0053|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0053,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,9,Late (9-10am),10.0,30.2000007629395,62.4000015258789,>30C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,7,7,0,0,0.0,False
ANTI-0054|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0054,,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,5,Early (5-6am),10.0,20.0,79.0,15-20C,60-80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,13,0,0,0.0,False
ANTI-0063|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0063,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,9,Late (9-10am),10.0,26.2999992370605,59.7000007629395,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,10,11,0,0,0.0,False
ANTI-0063|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0063,,2018-06-26,2,Kimberly Serno,2018-06,June,26,50,5,Early (5-6am),10.0,18.6000003814697,69.6999969482422,15-20C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,14,0,0,0.0,False
ANTI-0063|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0063,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,9,Late (9-10am),10.0,32.7999992370605,55.7000007629395,>30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,13,16,0,0,0.0,False
ANTI-0066|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0066,,2018-05-24,1,Elizabeth Oswald,2018-05,May,21,17,7,Mid (7-8am),10.0,18.2000007629395,79.6999969482422,15-20C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,10,13,0,0,0.0,False
ANTI-0066|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0066,,2018-06-25,2,Brian Swimelar,2018-06,June,26,49,8,Mid (7-8am),10.0,25.1000003814697,65.4000015258789,25-30C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,7,8,0,1,0.0,False
ANTI-0066|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0066,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,8,Mid (7-8am),10.0,25.7000007629395,77.5999984741211,25-30C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,8,9,0,0,0.0,False
ANTI-0072|2018-05-23|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0072,ANTI 1,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,10,Late (9-10am),10.0,26.1000003814697,61.2000007629395,25-30C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,9,9,0,0,0.0,False
ANTI-0072|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0072,ANTI 1,2018-06-26,2,Kimberly Serno,2018-06,June,26,50,6,Early (5-6am),10.0,17.8999996185303,71.5,15-20C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,15,1,0,6.67,True
ANTI-0074|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0074,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,10,Late (9-10am),10.0,27.1000003814697,56.9000015258789,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,8,9,0,2,0.0,False
ANTI-0074|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0074,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,10,Late (9-10am),10.0,32.5999984741211,59.9000015258789,>30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,3,3,0,0,0.0,False
ANTI-0075|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0075,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,10,Late (9-10am),10.0,25.7999992370605,56.7000007629395,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,9,13,0,2,0.0,False
ANTI-0075|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0075,,2018-06-25,2,Brian Swimelar,2018-06,June,26,49,8,Mid (7-8am),10.0,23.8999996185303,68.5999984741211,20-25C,60-80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,15,0,0,0.0,False
ANTI-0075|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0075,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,7,Mid (7-8am),10.0,23.8999996185303,72.3000030517578,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,8,10,0,0,0.0,False
ANTI-0076|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0076,,2018-05-24,1,Elizabeth Oswald,2018-05,May,21,17,6,Early (5-6am),10.0,14.6000003814697,85.3000030517578,<15C,>80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,11,13,0,0,0.0,False
ANTI-0076|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0076,,2018-06-25,2,Brian Swimelar,2018-06,June,26,49,8,Mid (7-8am),10.0,27.2999992370605,71.5999984741211,25-30C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,11,11,0,0,0.0,False
ANTI-0076|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0076,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,7,Mid (7-8am),10.0,23.0,71.0999984741211,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,13,15,0,0,0.0,False
ANTI-0077|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0077,,2018-05-24,1,Elizabeth Oswald,2018-05,May,21,17,6,Early (5-6am),10.0,14.3000001907349,81.3000030517578,<15C,>80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,15,17,0,0,0.0,False
ANTI-0077|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0077,,2018-06-25,2,Brian Swimelar,2018-06,June,26,49,9,Late (9-10am),10.0,27.2999992370605,71.5999984741211,25-30C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,7,11,0,1,0.0,False
ANTI-0077|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0077,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,7,Mid (7-8am),10.0,22.0,73.9000015258789,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,15,18,1,0,5.56,True
ANTI-0078|2018-05-22|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0078,ANTI 1,2018-05-22,1,Kimberly Serno,2018-05,May,21,15,7,Mid (7-8am),10.0,21.7000007629395,75.8000030517578,20-25C,60-80%,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,10,14,0,0,0.0,False
ANTI-0078|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0078,ANTI 1,2018-06-26,2,Brian Swimelar,2018-06,June,26,50,8,Mid (7-8am),10.0,24.2999992370605,52.4000015258789,20-25C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,9,10,0,0,0.0,False
ANTI-0079|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0079,,2018-05-24,1,Kimberly Serno,2018-05,May,21,17,6,Early (5-6am),10.0,12.8999996185303,89.5999984741211,<15C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,10,11,0,1,0.0,False
ANTI-0079|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0079,,2018-06-26,2,Brian Swimelar,2018-06,June,26,50,8,Mid (7-8am),10.0,24.2999992370605,52.4000015258789,20-25C,40-60%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,14,18,0,0,0.0,False
ANTI-0079|2018-07-17|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0079,,2018-07-17,3,Elizabeth Oswald,2018-07,July,29,71,8,Mid (7-8am),10.0,23.6000003814697,89.9000015258789,20-25C,>80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,12,15,1,1,6.67,True
ANTI-0082|2018-05-22|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0082,ANTI 1,2018-05-22,1,Kimberly Serno,2018-05,May,21,15,6,Early (5-6am),10.0,20.7999992370605,72.1999969482422,20-25C,60-80%,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,9,11,0,0,0.0,False
ANTI-0082|2018-06-25|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0082,ANTI 1,2018-06-25,2,Brian Swimelar,2018-06,June,26,49,5,Early (5-6am),10.0,24.1000003814697,70.0,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,9,10,0,0,0.0,False
ANTI-0087|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0087,,2018-05-24,1,Elizabeth Oswald,2018-05,May,21,17,7,Mid (7-8am),10.0,22.1000003814697,60.5,20-25C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,12,0,1,0.0,False
